id;tenbaibao;phanloai;tenhoithao;namxuatban;thangxuatban;danhmuc;iffff;hindex;xeploai;rankbaibao;volbaibao;sobaibao;ppbaibao;link;ghichu;tacgiachinh;tacgiakhac;tendetai
1;Metal;85941;haptic;18458;70904;29527;multi-byte;Universal;96292;42452;Licensed connecting;37350;New Caledonia;Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive
2;definition transmitter navigating;67142;primary calculate Table;42394;58660;15298;Re-engineered;RSS sky blue Intelligent;2363;31227;Phased sky blue;63796;Integrated;Checking Account Avon;bi-directional Credit Card Account Kenyan Shilling;content monitor;Industrial innovative bypassing;array Virginia
3;bypass;26489;invoice;59575;19186;40118;one-to-one;extensible Practical Granite Bacon;6761;66960;Intelligent Metal Hat system-worthy Credit Card Account;68013;Function-based Highway;Aruban Guilder;reintermediate efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia
4;content;82180;Garden moratorium Consultant;47488;92717;38252;Cotton;Chair Producer Accounts;53995;24365;Kyat Generic Cloned;78790;RAM Auto Loan Account Buckinghamshire;protocol;Plastic;encompassing;evolve plug-and-play;Lithuania
5;navigating;27970;Communications XML;16176;91939;78627;Wyoming Texas;tan Markets;11636;53973;Investment Account CFA Franc BEAC Syrian Arab Republic;72142;Soft orange bypassing;utilize;Chicken;compelling;North Carolina Creative Connecticut;FTP Investor
6;Rubber Legacy;82933;installation;95279;39866;82520;withdrawal;Sleek Steel Hat;13516;23255;Awesome parse Cotton;59429;Optimization;solutions Refined deposit;Kids;withdrawal Shirt;South Carolina;Ferry
7;Cambridgeshire;75425;Credit Card Account;29735;98367;43033;Keyboard;Soft;30327;26538;Chicken;69161;Home Loan Account;Manager open-source;orange Soap;Suriname models;optical;Ports pink
8;Iraq Buckinghamshire;17688;drive Supervisor Inverse;13380;48134;41858;open-source;synthesize Concrete;53531;61894;access;83430;Personal Loan Account;primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic;Wooden FTP;alarm
9;cross-platform Investment Account;85956;extend Interactions;13314;95533;10214;withdrawal Quality redundant;Extended;84087;93031;Triple-buffered;78117;quantifying Borders;District deposit;Senior Motorway;Computer matrix Berkshire;Small Steel Computer synthesize deposit;Ergonomic Steel Chair Optimization interface
10;Green Director;97074;Branding digital e-business;41213;9839;54961;synthesizing Gorgeous Cotton Chair;Sleek;96786;89890;1080p;22784;Coordinator Djibouti Franc;Concrete;reciprocal Generic Frozen Hat;Unbranded Frozen Gloves back-end;Wall;Investment Account
